iter	RMSE
0	14.59418442
1	14.2401341
2	13.87434315
3	13.53302574
4	13.20190459
5	12.90028476
6	12.58840025
7	12.31953963
8	12.05696702
9	11.79108061
10	11.50974286
11	11.25447496
12	11.00376214
13	10.76125607
14	10.52090691
15	10.31370045
16	10.09374983
17	9.892895376
18	9.685465545
19	9.499329243
20	9.318574752
21	9.150542044
22	9.001332911
23	8.843820603
24	8.683142813
25	8.547139398
26	8.413312889
27	8.305271343
28	8.172006379
29	8.045344887
30	7.930781866
31	7.814975965
32	7.702972634
33	7.609472259
34	7.499742675
35	7.399701578
36	7.302045734
37	7.219997774
38	7.132946743
39	7.058860591
40	6.988941315
41	6.917762452
42	6.845516808
43	6.781506093
44	6.713013263
45	6.650621994
46	6.589297591
47	6.536797585
48	6.474453535
49	6.416918436
50	6.367168209
51	6.314238081
52	6.265240946
53	6.216053063
54	6.171934822
55	6.126564511
56	6.085391604
57	6.048039476
58	6.014555883
59	5.981847082
60	5.94884358
61	5.917720582
62	5.885770973
63	5.857070696
64	5.828065173
65	5.802643437
66	5.776961181
67	5.750452321
68	5.729466955
69	5.70558925
70	5.681531239
71	5.66466328
72	5.644165966
73	5.622241101
74	5.607120357
75	5.590030875
76	5.571296869
77	5.557274083
78	5.546109921
79	5.52975379
80	5.512601132
81	5.502335324
82	5.489352046
83	5.475214422
84	5.45909455
85	5.443365199
86	5.432024571
87	5.418934128
88	5.406729701
89	5.394016849
90	5.384816151
91	5.373842948
92	5.365390679
93	5.355859023
94	5.353117406
95	5.339461633
96	5.331205884
97	5.323139973
98	5.314548199
99	5.301522259
100	5.295051695
101	5.282094822
102	5.27229216
103	5.263436006
104	5.253683844
105	5.244599166
106	5.236956738
107	5.228381091
108	5.220813356
109	5.214268285
110	5.206103191
111	5.19706319
112	5.191908015
113	5.185069393
114	5.179126819
115	5.173162665
116	5.165618525
117	5.161215916
118	5.15448581
119	5.14765185
120	5.145350137
121	5.141096786
122	5.134642299
123	5.125266094
124	5.119043492
125	5.113657702
126	5.107196736
127	5.102530006
128	5.094625354
129	5.09004414
130	5.085681993
131	5.079495775
132	5.073122747
133	5.069274891
134	5.062651024
135	5.058064883
136	5.052798733
137	5.046042482
138	5.042380498
139	5.037063817
140	5.029497474
141	5.026081411
142	5.020931986
143	5.015969023
