iter	Passed	Remaining
0	0	750
1	1	713
2	2	688
3	2	688
4	3	678
5	4	678
6	4	671
7	5	665
8	6	661
9	6	659
10	7	657
11	8	672
12	8	650
13	10	708
14	10	707
15	14	861
16	14	866
17	15	852
18	16	839
19	19	939
20	19	922
21	20	898
22	20	878
23	21	868
24	22	860
25	22	850
26	23	840
27	23	832
28	24	823
29	27	886
30	28	900
31	29	890
32	30	882
33	30	873
34	31	865
35	32	858
36	32	851
37	33	844
38	34	838
39	35	860
40	36	854
41	43	1000
42	44	991
43	45	982
44	50	1077
45	53	1103
46	53	1092
47	54	1081
48	55	1070
49	55	1060
50	63	1182
51	64	1171
52	65	1162
53	65	1150
54	66	1139
55	66	1128
56	67	1118
57	68	1108
58	68	1100
59	69	1090
60	70	1082
61	70	1073
62	71	1066
63	73	1081
64	77	1114
65	78	1106
66	78	1097
67	79	1088
68	80	1080
69	80	1071
70	81	1063
71	81	1056
72	82	1048
73	83	1041
74	83	1034
75	84	1027
76	85	1020
77	85	1013
78	87	1019
79	89	1025
80	89	1019
81	90	1013
82	90	1003
83	91	997
84	92	990
85	92	985
86	93	979
87	93	974
88	94	968
89	95	962
90	95	957
91	96	952
92	97	953
93	98	948
94	99	944
95	99	939
96	100	934
97	100	928
98	101	923
99	102	920
100	102	916
101	103	912
102	104	907
103	104	902
104	105	898
105	106	894
106	106	890
107	107	886
108	107	882
109	108	878
110	109	875
111	109	871
112	110	867
113	111	864
114	111	861
115	112	857
116	113	853
117	113	849
118	114	846
119	114	843
120	115	839
121	120	863
122	124	885
123	124	882
124	125	878
125	126	875
126	126	870
127	129	880
128	129	876
129	130	873
130	131	869
131	131	866
132	132	862
133	133	859
134	135	867
135	141	895
136	142	896
137	142	892
138	143	889
139	144	885
140	144	882
141	145	877
142	145	874
143	146	870
144	147	867
145	147	863
146	148	860
147	148	857
148	149	854
149	150	851
150	150	848
151	151	846
152	152	843
153	152	840
154	153	837
155	154	834
156	154	831
157	155	828
158	156	825
159	156	822
160	156	818
161	157	815
162	158	812
163	158	809
164	159	807
165	162	818
166	163	815
167	164	813
168	164	810
169	165	807
170	166	805
171	166	802
172	167	799
173	167	797
174	168	794
175	169	791
176	169	789
177	170	786
178	170	783
179	173	791
180	178	806
181	179	805
182	183	821
183	184	818
184	184	814
185	185	811
186	186	808
187	186	805
188	187	803
189	187	800
190	188	798
191	189	795
192	189	793
193	190	791
194	194	803
195	195	801
196	196	799
197	197	800
198	198	797
199	198	794
200	199	791
201	199	787
202	199	784
203	200	781
204	200	779
205	201	777
206	202	774
207	202	772
208	203	770
209	204	768
210	207	777
211	208	775
212	209	773
213	210	771
214	210	769
215	211	767
216	212	764
217	212	762
218	213	760
219	213	758
220	214	756
221	215	754
222	215	752
223	217	752
224	218	753
225	224	770
226	225	768
227	226	765
228	226	763
229	227	761
230	229	763
231	229	761
232	231	762
233	232	760
234	232	758
235	236	764
236	236	762
237	237	760
238	237	757
239	238	754
240	238	751
241	239	749
242	239	746
243	239	743
244	240	740
245	240	737
246	241	735
247	241	732
248	241	729
249	242	726
250	242	724
251	243	722
252	243	720
253	245	722
254	246	720
255	247	718
256	247	716
257	248	715
258	251	718
259	251	716
260	252	714
261	253	713
262	253	711
263	254	709
264	255	707
265	255	705
266	258	709
267	259	707
268	259	706
269	260	704
270	261	702
271	261	700
272	262	699
273	263	697
274	263	695
275	264	694
276	266	695
277	268	697
278	270	698
279	270	696
280	271	695
281	272	693
282	272	691
283	273	689
284	274	688
285	274	686
286	275	684
287	276	682
288	276	681
289	277	679
290	278	677
291	282	684
292	283	683
293	283	681
294	284	679
295	285	678
296	285	676
297	286	674
298	287	673
299	287	671
300	288	669
301	289	668
302	289	666
303	290	664
304	302	688
305	302	686
306	303	684
307	303	681
308	303	679
309	304	677
310	304	675
311	305	673
312	306	671
313	306	670
314	307	668
315	308	666
316	311	672
317	312	670
318	316	675
319	317	673
320	317	672
321	318	670
322	319	668
323	319	667
324	320	665
325	321	664
326	321	662
327	322	660
328	323	659
329	323	657
330	324	656
331	328	661
332	329	659
333	329	657
334	330	656
335	331	654
336	335	659
337	335	658
338	343	668
339	343	667
340	344	665
341	345	664
342	345	662
343	346	660
344	346	657
345	346	655
346	347	653
347	347	651
348	348	650
349	349	648
350	349	646
351	352	648
352	353	647
353	353	645
354	354	643
355	355	642
356	357	643
357	357	641
358	358	640
359	359	638
360	359	636
361	360	635
362	361	633
363	363	634
364	363	632
365	364	630
366	364	629
367	365	627
368	366	626
369	366	624
370	367	623
371	368	621
372	368	620
373	369	618
374	370	617
375	372	617
376	372	616
377	373	614
378	374	613
379	374	611
380	375	610
381	376	608
382	376	607
383	377	605
384	378	604
385	378	602
386	379	601
387	398	628
388	399	627
389	399	625
390	400	624
391	401	622
392	404	625
393	405	623
394	406	622
395	406	620
396	407	618
397	408	617
398	408	615
399	409	614
400	410	613
401	411	612
402	412	610
403	413	609
404	413	607
405	414	606
406	414	604
407	415	603
408	416	601
409	416	599
410	418	600
411	424	605
412	425	605
413	426	603
414	427	602
415	427	600
416	428	599
417	429	597
418	429	596
419	430	594
420	431	593
421	431	591
422	432	590
423	433	588
424	433	586
425	438	590
426	440	591
427	441	590
428	442	588
429	443	587
430	443	585
431	444	584
432	445	582
433	445	581
434	446	579
435	449	581
436	449	579
437	450	577
438	450	576
439	451	574
440	452	573
441	452	571
442	455	572
443	456	571
444	456	569
445	457	568
446	458	566
447	458	565
448	459	563
449	460	562
450	460	560
451	461	559
452	477	576
453	477	574
454	478	573
455	479	571
456	479	569
457	479	567
458	480	566
459	480	564
460	481	562
461	481	560
462	481	558
463	482	557
464	483	555
465	483	554
466	486	554
467	486	553
468	492	557
469	493	556
470	493	554
471	494	552
472	494	551
473	494	549
474	495	547
475	495	545
476	496	543
477	496	542
478	496	540
479	497	538
480	497	537
481	498	535
482	498	533
483	498	531
484	499	530
485	501	530
486	502	528
487	502	527
488	503	526
489	504	524
490	504	523
491	505	521
492	506	520
493	506	519
494	507	517
495	508	516
496	508	514
497	509	513
498	510	512
499	510	510
500	511	509
501	512	507
502	512	506
503	519	510
504	520	509
505	520	508
506	521	506
507	522	505
508	522	504
509	523	502
510	523	501
511	524	500
512	525	498
513	525	497
514	526	495
515	527	494
516	527	493
517	528	491
518	531	492
519	532	491
520	533	490
521	533	488
522	534	487
523	534	485
524	535	484
525	536	483
526	536	481
527	537	480
528	537	478
529	538	477
530	538	475
531	539	474
532	539	473
533	540	471
534	540	470
535	541	468
536	541	467
537	542	465
538	542	464
539	543	462
540	543	461
541	546	461
542	546	460
543	547	458
544	547	457
545	548	455
546	548	454
547	549	453
548	549	451
549	550	450
550	551	449
551	551	447
552	552	446
553	553	445
554	553	444
555	554	442
556	554	441
557	555	439
558	555	438
559	556	437
560	556	435
561	557	434
562	558	433
563	558	431
564	560	431
565	560	430
566	561	428
567	562	427
568	562	426
569	563	424
570	563	423
571	564	422
572	564	420
573	565	419
574	566	418
575	566	417
576	567	415
577	567	414
578	568	413
579	568	411
580	569	410
581	569	409
582	570	407
583	570	406
584	571	405
585	571	404
586	572	402
587	574	402
588	574	401
589	575	399
590	576	398
591	576	397
592	577	396
593	577	394
594	578	393
595	578	392
596	579	391
597	579	389
598	580	388
599	580	387
600	581	385
601	581	384
602	581	383
603	582	381
604	582	380
605	582	379
606	583	377
607	583	376
608	584	375
609	586	374
610	586	373
611	591	375
612	592	374
613	593	372
614	593	371
615	594	370
616	594	369
617	595	367
618	595	366
619	596	365
620	596	364
621	597	362
622	597	361
623	598	360
624	598	359
625	599	358
626	599	356
627	600	355
628	601	354
629	601	353
630	602	352
631	603	351
632	604	350
633	604	349
634	605	347
635	605	346
636	606	345
637	606	344
638	607	342
639	607	341
640	607	340
641	608	339
642	608	337
643	608	336
644	609	335
645	609	334
646	610	332
647	610	331
648	610	330
649	611	329
650	611	327
651	612	326
652	612	325
653	612	324
654	613	323
655	613	321
656	614	320
657	614	319
658	614	318
659	615	316
660	615	315
661	616	314
662	616	313
663	616	312
664	619	311
665	619	310
666	619	309
667	620	308
668	621	307
669	621	306
670	622	305
671	623	304
672	624	303
673	624	302
674	625	301
675	625	300
676	626	298
677	627	297
678	627	296
679	628	295
680	628	294
681	629	293
682	629	292
683	630	291
684	630	289
685	630	288
686	631	287
687	632	286
688	632	285
689	633	284
690	633	283
691	634	282
692	634	281
693	634	279
694	635	278
695	635	277
696	635	276
697	636	275
698	636	274
699	637	273
700	637	271
701	637	270
702	638	269
703	638	268
704	639	267
705	639	266
706	639	265
707	640	264
708	640	262
709	641	261
710	641	260
711	641	259
712	642	258
713	642	257
714	643	256
715	643	255
716	643	254
717	644	253
718	646	252
719	647	251
720	647	250
721	648	249
722	648	248
723	649	247
724	649	246
725	649	245
726	650	244
727	650	243
728	651	242
729	651	240
730	651	239
731	652	238
732	652	237
733	653	236
734	653	235
735	653	234
736	654	233
737	654	232
738	654	231
739	655	230
740	655	229
741	656	228
742	656	227
743	656	226
744	657	224
745	657	223
746	658	222
747	658	221
748	658	220
749	659	219
750	659	218
751	661	218
752	662	217
753	662	216
754	663	215
755	663	214
756	664	213
757	664	212
